meet_ID,meet_name,year,conference_id,conference,event_name,gender,event_type,place,swimmer_name,swimmer_ID,team_name,team_ID,time,place_original,synthetic
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,100 Back Women Finals,F,Timed Finals,1,Lucianne Kimura,97722.0,Converse,8475,1:00.23,10,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,100 Back Women Finals,F,Timed Finals,2,Amelia Shaw,32138.0,Converse,8475,1:06.56,22,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,100 Breast Women Finals,F,Timed Finals,1,Hillary Johnson,155806.0,Converse,8475,1:10.36,17,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,100 Fly Women Finals,F,Timed Finals,1,Jana Gentry,99720.0,Converse,8475,58.77,6,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,100 Fly Women Finals,F,Timed Finals,2,Jessica Pope,162304.0,Converse,8475,1:00.44,15,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,100 Free Women Finals,F,Timed Finals,1,Jessica Mason,22789.0,Converse,8475,52.53,7,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,100 Free Women Finals,F,Timed Finals,2,Jessica Pope,162304.0,Converse,8475,54.23,12,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,100 Free Women Finals,F,Timed Finals,3,Ashley Johnson,140422.0,Converse,8475,54.62,16,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,1000 Free Women,F,Timed Finals,1,Christl Bradley,155810.0,Converse,8475,10:57.31,9,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,1000 Free Women,F,Timed Finals,2,Kate Mattil,162302.0,Converse,8475,11:19.84,14,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,1000 Free Women,F,Timed Finals,3,Elizabeth Wright,29891.0,Converse,8475,11:22.00,15,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,1650 Free Women,F,Timed Finals,1,Elizabeth Wright,29891.0,Converse,8475,18:39.14,8,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,1650 Free Women,F,Timed Finals,2,Kate Mattil,162302.0,Converse,8475,18:54.48,12,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,200 Back Women Finals,F,Timed Finals,1,Lucianne Kimura,97722.0,Converse,8475,2:08.71,4,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,200 Back Women Finals,F,Timed Finals,2,Elizabeth Wright,29891.0,Converse,8475,2:18.61,20,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,200 Back Women Finals,F,Timed Finals,3,Amelia Shaw,32138.0,Converse,8475,2:26.35,24,False
15554,Bluegrass Mountain Conference Championships,2011,205,Conference of the Carolinas,200 Breast Women Finals,F,Timed Finals,1,Jenni Russell,162305.0,Converse,8475,2:25.63,4,False
